w         x         y         z
E         1         0         26*(A+2) + B + 13
E         1         0         26*(A+2) + B + 13
E         1         25         26*(A+2) + B + 13
E         1         25         26*(A+2) + B + 13
E         1         26         26*(A+2) + B + 13
E         1         26         26*(26*(A+2) + B + 13)
E         1         0         26*(26*(A+2) + B + 13)
E         1         E         26*(26*(A+2) + B + 13)
E         1         E+15         26*(26*(A+2) + B + 13)
E         1         E+15         26*(26*(A+2) + B + 13)
E         1         E+15         26*(26*(A+2) + B + 13) + E + 15
F         1         E+15         26*(26*(A+2) + B + 13) + E + 15
F         0         E+15         26*(26*(A+2) + B + 13) + E + 15
F         26*(26*(A+2) + B + 13) + E + 15         E+15         26*(26*(A+2) + B + 13) + E + 15
F         E + 15         E+15         26*(26*(A+2) + B + 13) + E + 15
F         E + 15         E+15         26*(A+2) + B + 13
F         E + 2         E+15         26*(A+2) + B + 13
F         E + 2==F         E+15         26*(A+2) + B + 13
F         E + 2!=F         E+15         26*(A+2) + B + 13
F         0         0         26*(A+2) + B + 13
F         0         25         26*(A+2) + B + 13
F         0         0         26*(A+2) + B + 13
F         0         1         26*(A+2) + B + 13
F         0         1         26*(A+2) + B + 13
F         0         0         26*(A+2) + B + 13
F         0         F         26*(A+2) + B + 13
F         0         F+3         26*(A+2) + B + 13
F         0         0         26*(A+2) + B + 13
F         0         0         26*(A+2) + B + 13
G         0         0         26*(A+2) + B + 13
G         0         0         26*(A+2) + B + 13
G         26*(A+2) + B + 13         0         26*(A+2) + B + 13
G         B + 13         0         26*(A+2) + B + 13
G         B + 13         0         A+2
G         B + 6         0         A+2
G         B + 6==G         0         A+2
G         B + 6!=G         0         A+2
G         B + 6!=G         0         A+2
G         0         25         A+2
G         0         0         A+2
G         0         1         A+2
G         0         1         A+2
G         0         0         A+2
G         0         G         A+2
G         0         G+6         A+2
G         0         0         A+2
G         0         0         A+2
H         0         0         A+2
H         0         0         A+2
H         A+2         0         A+2
H         0         0         A+2
H         0         0         A+2
H         11         0         A+2
H         0         0         A+2
H         1         0         A+2
H         1         0         A+2
H         1         25         A+2
H         1         25         A+2
H         1         26         A+2
H         1         26         26*(A+2)
H         1         0         26*(A+2)
H         1         H         26*(A+2)
H         1         H+5         26*(A+2)
H         1         H+5         26*(A+2)
H         1         H+5         26*(A+2)+H+5
I         1         H+5         26*(A+2)+H+5
I         0         H+5         26*(A+2)+H+5
I         26*(A+2)+H+5         H+5         26*(A+2)+H+5
I         H+5         H+5         26*(A+2)+H+5
I         H+5         H+5         26*(A+2)+H+5
I         H+15         H+5         26*(A+2)+H+5
I         0         H+5         26*(A+2)+H+5
I         1         H+5         26*(A+2)+H+5
I         1         0         26*(A+2)+H+5
I         1         25         26*(A+2)+H+5
I         1         25         26*(A+2)+H+5
I         1         26         26*(A+2)+H+5
I         1         26         26*(26*(A+2)+H+5)
I         1         0         26*(26*(A+2)+H+5)
I         1         I         26*(26*(A+2)+H+5)
I         1         I+16         26*(26*(A+2)+H+5)
I         1         I+16         26*(26*(A+2)+H+5)
I         1         I+16         26*(26*(A+2)+H+5)+I+16
J         1         I+16         26*(26*(A+2)+H+5)+I+16
J         0         I+16         26*(26*(A+2)+H+5)+I+16
J         26*(26*(A+2)+H+5)+I+16         I+16         26*(26*(A+2)+H+5)+I+16
J         I+16         I+16         26*(26*(A+2)+H+5)+I+16
J         I+16         I+16         26*(26*(A+2)+H+5)+I+16
J         I+29         I+16         26*(26*(A+2)+H+5)+I+16
J         0         I+16         26*(26*(A+2)+H+5)+I+16
J         1         I+16         26*(26*(A+2)+H+5)+I+16
J         1         0         26*(26*(A+2)+H+5)+I+16
J         1         25         26*(26*(A+2)+H+5)+I+16
J         1         25         26*(26*(A+2)+H+5)+I+16
J         1         26         26*(26*(A+2)+H+5)+I+16
J         1         26         26*(26*(26*(A+2)+H+5)+I+16)
J         1         0         26*(26*(26*(A+2)+H+5)+I+16)
J         1         J         26*(26*(26*(A+2)+H+5)+I+16)
J         1         J+1         26*(26*(26*(A+2)+H+5)+I+16)
J         1         J+1         26*(26*(26*(A+2)+H+5)+I+16)
J         1         J+1         26*(26*(26*(A+2)+H+5)+I+16)+J+1
K         1         J+1         26*(26*(26*(A+2)+H+5)+I+16)+J+1
K         0         J+1         26*(26*(26*(A+2)+H+5)+I+16)+J+1
K         26*(26*(26*(A+2)+H+5)+I+16)+J+1         J+1         26*(26*(26*(A+2)+H+5)+I+16)+J+1
K         J+1         J+1         26*(26*(26*(A+2)+H+5)+I+16)+J+1
K         J+1         J+1         26*(26*(A+2)+H+5)+I+16
K         J-3         J+1         26*(26*(A+2)+H+5)+I+16
K         J-3==K         J+1         26*(26*(A+2)+H+5)+I+16
K         J-3!=K         J+1         26*(26*(A+2)+H+5)+I+16
K         0         0         26*(26*(A+2)+H+5)+I+16
K         0         25         26*(26*(A+2)+H+5)+I+16
K         0         0         26*(26*(A+2)+H+5)+I+16
K         0         1         26*(26*(A+2)+H+5)+I+16
K         0         1         26*(26*(A+2)+H+5)+I+16
K         0         0         26*(26*(A+2)+H+5)+I+16
K         0         K         26*(26*(A+2)+H+5)+I+16
K         0         K+6         26*(26*(A+2)+H+5)+I+16
K         0         0         26*(26*(A+2)+H+5)+I+16
K         0         0         26*(26*(A+2)+H+5)+I+16
L         0         0         26*(26*(A+2)+H+5)+I+16
L         0         0         26*(26*(A+2)+H+5)+I+16
L         26*(26*(A+2)+H+5)+I+16         0         26*(26*(A+2)+H+5)+I+16
L         I+16         0         26*(26*(A+2)+H+5)+I+16
L         I+16         0         26*(A+2)+H+5
L         I+7         0         26*(A+2)+H+5
L         I+7==L         0         26*(A+2)+H+5
L         I+7!=L         0         26*(A+2)+H+5
L         0         0         26*(A+2)+H+5
L         0         25         26*(A+2)+H+5
L         0         0         26*(A+2)+H+5
L         0         1         26*(A+2)+H+5
L         0         1         26*(A+2)+H+5
L         0         0         26*(A+2)+H+5
L         0         L         26*(A+2)+H+5
L         0         L+3         26*(A+2)+H+5
L         0         0         26*(A+2)+H+5
L         0         0         26*(A+2)+H+5
M         0         0         26*(A+2)+H+5
M         0         0         26*(A+2)+H+5
M         26*(A+2)+H+5         0         26*(A+2)+H+5
M         H+5         0         26*(A+2)+H+5
M         H+5         0         A+2
M         H-8         0         A+2
M         H-8==M         0         A+2
M         0         0         A+2
M         0         0         A+2
M         0         25         A+2
M         0         0         A+2
M         0         1         A+2
M         0         1         A+2
M         0         0         A+2
M         0         M         A+2
M         0         M+7         A+2
M         0         0         A+2
M         0         0         A+2
N         0         0         A+2
N         0         0         A+2
N         A+2         0         A+2
N         A+2         0         A+2
N         A+2         0         0
N         A-7         0         0
N         A-7==N         0         0
N         0         0         0
N         0         0         0
N         0         25         0
N         0         0         0
N         0         1         0
N         0         1         0
N         0         0         0
N         0         N         0
N         0         N+9         0
N         0         0         0
N         0         0         0
